,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(0,)",[0.45488392 0.47106532 0.47455024 0.4735223 ],0.46850544775303543,"('Joint_7_az',)",0.012768810682772355,0.00796566401164786,0.004598978261399007
2,"(0, 16)",[0.25580377 0.25975449 0.26151821 0.25159306],0.25716738170715986,"('Joint_7_az', 'Joint_17_az')",0.0061331267935148545,0.0038260750035153065,0.0022089854332192605
3,"(0, 16, 17)",[0.35808147 0.34787374 0.35103115 0.34783564],0.3512055014672717,"('Joint_7_az', 'Joint_17_az', 'Joint_17_el')",0.0066945327280613105,0.004176301125575038,0.002411188579067685
4,"(0, 2, 16, 17)",[0.44196233 0.43314336 0.4405441  0.43243243],0.4370205547911466,"('Joint_7_az', 'Joint_8_az', 'Joint_17_az', 'Joint_17_el')",0.006844187041233402,0.004269661110795211,0.0024650899916660914
5,"(0, 2, 3, 16, 17)",[0.49145861 0.48597107 0.48859149 0.47989453],0.4864789221469213,"('Joint_7_az', 'Joint_8_az', 'Joint_8_el', 'Joint_17_az', 'Joint_17_el')",0.00684194938550269,0.004268265177049506,0.002464284048942238
6,"(0, 2, 3, 11, 16, 17)",[0.52737626 0.52718106 0.53312857 0.52010547],0.5269478391828136,"('Joint_7_az', 'Joint_8_az', 'Joint_8_el', 'Joint_12_el', 'Joint_17_az', 'Joint_17_el')",0.007400554738333096,0.004616744190976661,0.002665478501440016
7,"(0, 1, 2, 3, 11, 16, 17)",[0.55015331 0.55063569 0.54826678 0.54449572],0.5483878730147962,"('Joint_7_az', 'Joint_7_el', 'Joint_8_az', 'Joint_8_el', 'Joint_12_el', 'Joint_17_az', 'Joint_17_el')",0.0038715380710337096,0.002415210958039044,0.001394422696773576
