IQRAccX,IQRAccY,IQRAccZ,IQRGyroX,IQRGyroY,IQRGyroZ,IQRMagX,IQRMagY,IQRMagZ,KurtosisAccX,KurtosisAccY,KurtosisAccZ,KurtosisGyroX,KurtosisGyroY,KurtosisGyroZ,KurtosisMagX,KurtosisMagY,KurtosisMagZ,MADAccX,MADAccY,MADAccZ,MADGyroX,MADGyroY,MADGyroZ,MADMagX,MADMagY,MADMagZ,MaxAccX,MaxAccY,MaxAccZ,MaxGyroX,MaxGyroY,MaxGyroZ,MaxMagX,MaxMagY,MaxMagZ,MedianAccX,MedianAccY,MedianAccZ,MedianGyroX,MedianGyroY,MedianGyroZ,MedianMagX,MedianMagY,MedianMagZ,MinAccX,MinAccY,MinAccZ,MinGyroX,MinGyroY,MinGyroZ,MinMagX,MinMagY,MinMagZ,RMSAccX,RMSAccY,RMSAccZ,RMSGyroX,RMSGyroY,RMSGyroZ,RMSMagX,RMSMagY,RMSMagZ,SkewAccX,SkewAccY,SkewAccZ,SkewGyroX,SkewGyroY,SkewGyroZ,SkewMagX,SkewMagY,SkewMagZ,StdAccX,StdAccY,StdAccZ,StdGyroX,StdGyroY,StdGyroZ,StdMagX,StdMagY,StdMagZ,VarianceAccX,VarianceAccY,VarianceAccZ,VarianceGyroX,VarianceGyroY,VarianceGyroZ,VarianceMagX,VarianceMagY,VarianceMagZ,meanAccX,meanAccY,meanAccZ,meanGyroY,meanGyroZ,meanMagX,meanMagY,Label
0.380698,0.2202775,0.2514035,0.053264,0.048603,0.0450085,0.9019775,1.262768,0.610882,-1.597762722,-1.184271524,-0.7671489522,-0.6881605559,-0.6762447782,-1.40714538,-1.011681248,-1.271744277,-0.9148530955,3.46463382,1.192743107,1.022352081,0.05054042703,0.4015598457,0.2846848302,6.953816568,1.337273101,2.328939765,-3.007271,5.075966,4.8509,0.256674,-0.593146,-0.164288,4.690278,52.31464,-70.862556,-7.570851,4.271473,2.504462,-0.335888,-1.495172,-0.454843,-5.953045,50.510684,-73.306091,-9.907711,1.709547,1.019982,-0.369977,-1.808897,-0.770699,-15.513997,49.608707,-75.226013,7.476798037,4.039480386,3.023572608,0.3013822393,1.422633247,0.5179829801,8.620933299,50.7728018,73.49696265,0.2599287733,-0.5767003674,0.4005424277,0.9563276803,0.8243619622,-0.01171697223,-0.02075263206,0.408137776,0.5352367735,2.770645887,1.289758245,1.265905431,0.2416577867,0.4282924564,0.2197379547,6.796475741,0.9854288229,1.549365363,7.676478633,1.663476331,1.602516561,0.05839848586,0.1834344282,0.04828476872,46.1920825,0.9710699651,2.400533028,-6.9444964,3.8280446,2.7458104,-1.3566322,-0.4690646,-5.3036222,50.763238,0
0.380698,0.2202775,0.2514035,0.053264,0.048603,0.0450085,0.9019775,1.262768,0.610882,-1.323387017,-1.512945323,-1.023801613,-1.09474436,-1.428672217,-1.361832139,-0.7435659684,-1.402365938,-1.101878416,2.346437436,1.352485341,0.3159351198,0.03356240772,0.5581159682,0.2331569901,1.203545346,0.9360913191,1.293855095,-2.69122,3.567542,4.803013,0.304612,1.394668,0.811243,-6.313836,52.495033,-71.386169,-4.9083635,2.0399635,4.398373,0.270922,0.9657595,0.5786125,-14.341427,51.412662,-73.0442845,-8.260417,0.809281,4.003309,0.205807,0.016994,0.323611,-15.333601,50.510684,-74.527862,5.600428665,2.366979768,4.40989582,0.2656176182,1.002583486,0.6012148587,13.1066223,51.46319475,73.00934772,-0.3153453556,0.1430770411,0.02501724153,-0.5484781945,-0.4242964181,-0.07344484474,1.065051422,0.1381454078,0.1097165394,2.099283754,1.06433286,0.2836035192,0.03673050884,0.5537327395,0.1819551386,3.669115865,0.7478794578,1.126922648,4.406992279,1.132804437,0.08043095613,0.00134913028,0.3066199468,0.03310767245,13.46241123,0.5593236834,1.269954655,-5.192091,2.1141875,4.400767,0.83579525,0.57301975,-12.58257275,51.45776025,0
0.380698,0.2202775,0.2514035,0.053264,0.048603,0.0450085,0.9019775,1.262768,0.610882,-1.132845368,-1.006688336,-0.8507773553,-1.106521018,-1.17196226,-1.468194413,-1.245981137,-0.7010748154,-0.9662424013,1.313437305,0.7241651928,0.5182754814,0.4368984109,0.3182464966,0.2763933773,7.756180132,0.2674547685,0.7763097954,-5.952289,5.368074,4.520483,0.556018,-0.957738,-0.052167,7.035417,50.510684,-71.037094,-9.41927,4.5755525,2.164469,-0.1658425,-1.665617,-0.4487175,-0.9019765,47.804756,-71.909782,-10.353056,3.074312,1.790954,-0.633368,-1.925812,-0.681748,-11.18451,47.443965,-73.655166,8.964727303,4.477916736,2.88202195,0.4458164453,1.599357084,0.4767847908,6.873393058,48.40673612,72.13433063,0.6957049346,-0.5740024167,0.9573534002,0.3954936654,0.632128365,0.3238143607,-0.2229822678,1.104107804,-0.6245901094,1.781304245,0.8402710536,1.109031902,0.4339302374,0.37943619,0.2469662129,6.710336045,1.232608981,0.9589678178,3.173044812,0.7060554436,1.22995176,0.1882954509,0.1439718223,0.06099231032,45.02860984,1.5193249,0.9196192756,-8.78597125,4.39837275,2.66009375,-1.553696,-0.4078375,-1.4882615,48.39104025,0
0.380698,0.2202775,0.2514035,0.053264,0.048603,0.0450085,0.9019775,1.262768,0.610882,-1.320269684,-1.717140826,-0.8521021939,-1.229489123,-1.151821392,-1.085774189,-1.558090992,-1.789241435,-1.069854181,2.662371814,1.260189647,0.3443328826,0.1267454398,0.5867420519,0.1383942454,3.343179788,1.337270877,0.5175401107,-1.972923,4.132603,4.721606,0.633783,1.60293,0.78834,-10.282533,50.149894,-69.640785,-4.446259,3.165296,4.324149,0.349753,1.1047785,0.674088,-15.4237985,48.8871265,-70.9498245,-8.418442,1.676027,3.198817,0.255609,-0.188339,0.326274,-17.859134,47.804756,-71.386169,5.403738137,3.201533294,4.181253148,0.4252874892,1.142151198,0.6417201025,15.07542496,48.94193038,70.73492125,-0.3530381571,-0.1794252428,-0.8465647836,0.6061258313,-0.6347741387,-0.7121860106,0.3330861566,0.06242664286,0.7207008516,2.441029882,1.019691626,0.5702812167,0.1519280917,0.6954180857,0.1808902385,3.128115795,0.9745933415,0.6801961264,5.958626886,1.039771012,0.3252206661,0.02308214504,0.4836063139,0.0327212784,9.785108428,0.9498321812,0.4626667703,-4.82097075,3.0348055,4.14218025,0.906037,0.6156975,-14.747316,48.93222575,0
0.380698,0.2202775,0.2514035,0.053264,0.048603,0.0450085,0.9019775,1.262768,0.610882,-1.428472787,-1.448815037,-0.1194700066,-1.200019877,-1.599246344,-1.474047496,-1.549059554,-0.7658174406,-1.222751037,3.351039804,1.693268874,0.8590590144,0.4667090937,0.8447756246,0.4009668048,13.23899584,2.005910393,0.5175401107,-0.684777,5.085544,5.712856,0.324053,-0.50233,0.262624,5.953045,53.216613,-70.338943,-8.1526725,3.8357065,2.9186805,-0.329896,-1.416341,-0.400647,-4.058894,48.8871265,-70.862556,-10.592489,1.130121,1.848418,-0.697018,-2.073886,-0.680416,-17.859134,47.083175,-72.60794,7.77552504,3.712908281,3.452074523,0.4421708214,1.454960655,0.4844010345,10.96634266,49.38335812,71.24545546,0.4822824945,-0.4318869726,1.009707887,0.4038792067,0.1743412108,0.3472565955,-0.2098869369,0.696856377,-0.6248847849,3.846284205,1.526100124,1.257782429,0.3575647273,0.6047891966,0.3656756717,9.415422941,2.113398016,0.8212364454,14.79390219,2.328981589,1.582016639,0.1278525342,0.3657699723,0.1337186969,88.65018915,4.466451172,0.6744292993,-6.75758,3.384775667,3.214778667,-1.323306667,-0.317688,-5.62232,49.33811517,0
0.380698,0.2202775,0.2514035,0.053264,0.048603,0.0450085,0.9019775,1.262768,0.610882,-1.568530273,-1.361512583,-1.584715457,-1.607463858,-0.01820821449,-0.7441067657,-1.35132762,0.02388640958,-0.5886426845,4.323693576,2.484881348,1.640021957,0.4896101088,0.0947620034,0.1772866081,7.488721657,0.267458475,0.7763097954,-1.383919,5.075966,5.784686,0.653491,1.486815,0.742266,-6.313836,50.691082,-68.069946,-5.190894,2.786993,3.572331,0.282241,1.148056,0.573153,-16.235576,50.510684,-71.560707,-9.002657,1.110966,2.466153,-0.071965,-0.048255,0.169145,-21.827831,46.722385,-72.08432,5.836379425,3.589791925,4.358514176,0.4228584953,1.11440841,0.5571687706,16.20628625,49.66725345,70.80845313,-0.0303350747,-0.103064464,0.126856756,-0.01358191252,-1.250257634,-0.73817485,0.3432135688,-1.351006277,0.9808786606,2.914100416,1.460486862,1.280649563,0.2854044449,0.5311473679,0.1999662286,5.746658707,1.493690015,1.491661753,8.491981235,2.133021874,1.640063304,0.08145569718,0.2821175265,0.03998649256,33.0240863,2.23110986,2.225054785,-5.0568116,3.2792658,4.1661232,0.979688,0.5200486,-15.1532052,49.6447878,0
0.380698,0.2202775,0.2514035,0.053264,0.048603,0.0450085,0.9019775,1.262768,0.610882,-1.586917275,-1.487727561,-1.514443653,-0.7441603735,-1.63056002,-0.7663167851,-1.382061427,-1.045931797,-0.3072817706,4.891666625,3.003156089,1.490928513,0.395240995,0.5709486317,0.4663139802,12.30290453,3.209451292,0.5175512302,-1.953768,6.349746,5.775109,-0.069036,-0.728436,0.041844,3.788301,55.200962,-69.98986,-5.669758,3.778243,2.935441,-0.388886,-1.59158,-0.345119,-7.937393,53.03622,-74.004241,-10.396154,0.129293,1.929825,-1.238447,-1.976679,-1.209861,-19.302297,46.361595,-76.098701,6.851587143,4.272150731,3.93626481,0.6583124944,1.538723886,0.653595402,12.03386714,51.98478148,73.68237573,-0.09985313909,-0.2049467024,0.3391115338,-0.7674741959,0.2769934927,-0.5154901664,0.1234302609,-0.6498478243,0.8536942587,3.239215417,2.360445848,1.447530156,0.4113768872,0.513133027,0.417674647,8.43092794,3.272272766,2.002252373,10.49251652,5.571704602,2.095343553,0.1692309433,0.2633055034,0.1744521108,71.08054594,10.70776905,4.009014566,-6.0375268,3.560838,3.6604422,-1.4506432,-0.5027274,-8.5868162,51.8816898,0
0.380698,0.2202775,0.2514035,0.053264,0.048603,0.0450085,0.9019775,1.262768,0.610882,-1.514704566,-1.440303726,0.1664131413,-0.8735260451,0.04073596041,-1.581173849,-1.274676279,-1.536560944,-0.7286195928,4.806470371,1.498028695,0.1703925078,0.1855773197,0.2471735115,0.2278270351,10.43072189,2.941998747,1.293849165,-1.178007,5.7368,4.118237,0.647632,1.589881,0.770496,-4.509882,51.412662,-69.117172,-5.626661,4.726395,4.003309,0.27292,1.402924,0.616829,-14.070835,47.985149,-70.862556,-9.108008,1.513213,1.781377,0.096349,0.082509,0.240519,-21.647436,46.000801,-71.909782,6.414030355,4.181196923,3.663713995,0.3729653884,1.310956161,0.5512111642,15.85878918,48.82191428,70.86951838,0.1571583662,-0.3853513953,-1.441501384,0.6209857845,-1.348618445,-0.2103246019,0.2898582507,0.09188483982,0.7157453889,3.089515246,1.568299553,0.8931616346,0.1919277408,0.5626746518,0.2018807779,6.414162815,2.049215071,0.9934883453,9.545104453,2.459563488,0.7977377056,0.03683625767,0.3166027637,0.04075584849,41.14148462,4.199282405,0.9870190923,-5.6209146,3.8759314,3.5531764,1.1840622,0.5129112,-14.5037826,48.7788892,0
0.380698,0.2202775,0.2514035,0.053264,0.048603,0.0450085,0.9019775,1.262768,0.610882,-1.054198455,-1.0154638,-0.765431289,-1.476715313,-0.7781084844,-1.176138416,-1.150152233,-1.608229909,-0.842883207,1.998554462,0.8484094826,0.2875366156,0.518631306,0.1753117819,0.1836032348,8.558543697,1.738453401,0.9056942671,-3.596274,5.396806,3.141353,0.109133,-1.024318,-0.280669,5.77265,54.840171,-72.258865,-9.103219,4.4247105,2.870794,-0.4991425,-1.8417875,-0.7033195,-2.7961275,52.3146375,-73.3933595,-10.678684,2.849245,1.321667,-0.975589,-2.057906,-0.847132,-17.678739,51.051872,-76.447784,8.590924116,4.372049741,2.651666816,0.6248171492,1.737051886,0.6721792953,9.736751653,52.6538784,73.88977081,0.7544187176,-0.4608004796,-1.032055169,0.1677745738,0.9727123308,0.6423507621,-0.4627128866,0.2930891702,-0.8335812779,2.804266266,0.9213420947,0.7231599936,0.4160141615,0.3954073824,0.2244178533,8.698697034,1.57458811,1.558066556,7.863909291,0.8488712555,0.5229603763,0.1730677826,0.156346998,0.05036337287,75.66733009,2.479327717,2.427571394,-8.120349,4.273868,2.551152,-1.69144975,-0.63361,-4.374586,52.6303295,0
0.1711945,0.0933785,0.19992625,0.0664465,0.047871,0.0256995,0.67648175,0.94707725,0.523617,-1.468489622,-1.540394136,0.4054510537,-0.3071660204,-1.40246228,-1.526251025,-1.338277406,-1.581897451,-1.75494669,4.628977681,1.057848544,1.164343861,0.1247713549,0.698089185,0.1500408271,9.360905778,2.1396337,0.258770426,-0.560272,3.634583,6.344958,0.010481,-0.313757,0.056341,7.576603,42.573291,-42.587348,-5.91398,2.581081,5.511733,-0.073676,-1.071438,-0.058443,-1.443162,40.228153,-48.347114,-9.127162,1.795743,2.164469,-0.543199,-1.561201,-0.19906,-11.18451,37.883014,-48.521652,6.285571886,2.794455347,5.271960684,0.2513314949,1.090033292,0.12545128,6.889859392,40.37050725,46.37255774,0.233849517,-0.02677581491,-1.246930172,-0.9580435531,0.1044065367,0.04092142519,-0.07242032205,0.05143614293,0.3695267024,3.18530059,0.6776008269,1.348839453,0.1828772418,0.4495247583,0.09435250711,6.613200443,1.780234681,2.547669575,10.14613985,0.4591428806,1.819367869,0.03344408557,0.2020725083,0.008902395599,43.7344201,3.169235518,6.490620263,-5.418696714,2.711058429,5.096489143,-0.9930257143,-0.08267785714,-1.932806857,40.33123629,0
